Fragment,106.1,91.1
IsotopeRatio,UnSub/13C,UnSub/13C
ScanByScan Avg R Val,0.08742868653668485,0.07566337042321074
TrapRule Avg R val,0.08706824998898481,0.07665568902438179
N,3.0,3.0
ScanStdDev,0.0007045560642727722,0.000570233500119161
ScanStdError,0.0004067756333670683,0.0003292244647947401
ScanRelStdError,0.004652656347483687,0.004351173665054526
TrapStdDev,0.0007226432342295262,0.000642525754671274
TrapStdError,0.0004172182658104788,0.0003709624174207275
TrapRelStdError,0.004791853125143344,0.00483933315507393
